No.,Player,Position,Team
1.0,Silva Milka Marcília Medeiros,MB,BRA
2.0,Duarte Alecrim Diana,MB,BRA
3.0,Gambatto Kudiess Julia,MB,BRA
4.0,Da Silva Ana Carolina,MB,BRA
5.0,Zalewski Daroit Moreira Priscila,OH,BRA
6.0,Alexandre Costa Nunes Nyeme Victoria,L,BRA
7.0,Montibeller Rosamaria,OH,BRA
8.0,Silva Carneiro Macris Fernanda,S,BRA
9.0,Ratzke Roberta Silva,S,BRA
10.0,Braga Guimaraes Gabriela,OH,BRA
11.0,Barbosa De Souza Karina,OH,BRA
12.0,Menezes Oliveira de Souza Ana Cristina,OH,BRA
13.0,Clemente Kasiely,OH,BRA
14.0,Araujo Natália,L,BRA
15.0,Viezel Lorena Giovana,MB,BRA
16.0,Nascimento Kisy,O,BRA
17.0,Bergmann Julia Isabelle,OH,BRA
18.0,Araujo De Souza Mayany Cristina,MB,BRA
19.0,Lemes Santos Tainara,OH,BRA
20.0,Da Silva Lorrayna,O,BRA
21.0,Malachias Kenya,S,BRA
22.0,Bueno da Silva Claudia,S,BRA
23.0,Honorio Marques Bruna,O,BRA
24.0,Geraldo Teixeira Lorenne,O,BRA
25.0,Vasques Lais,L,BRA
,JOSÉ ROBERTO GUIMARAES,COACH,BRA
1.0,Lubian Marina,MB,ITA
2.0,Bosio Francesca,S,ITA
3.0,Gennari Alessia,OH,ITA
4.0,Bonifacio Sara,MB,ITA
5.0,Malinov Ofelia,S,ITA
6.0,De Gennaro Monica,L,ITA
7.0,Fersino Eleonora,L,ITA
8.0,Orro Alessia,S,ITA
9.0,Bosetti Caterina Chiara,OH,ITA
10.0,Chirichella Cristina,MB,ITA
11.0,Danesi Anna,MB,ITA
12.0,Guerra Anastasia,OH,ITA
13.0,Battistoni Ilaria,S,ITA
14.0,Pietrini Elena,OH,ITA
15.0,Nwakalor Sylvia Chinelo,O,ITA
16.0,D'Odorico Sofia,OH,ITA
17.0,Sylla Myriam Fatime,OH,ITA
18.0,Egonu Paola Ogechi,O,ITA
19.0,Squarcini Federica,MB,ITA
20.0,Panetoni Sara,L,ITA
21.0,Degradi Alice Carlotta,OH,ITA
22.0,Enweonwu Nkemdilim Ruth Terry,O,ITA
23.0,Perinelli Elena,OH,ITA
24.0,Mazzaro Alessia,MB,ITA
25.0,Omoruyi Oghosasere Loveth,OH,ITA
,Davide Mazzanti,COACH,ITA
2.0,Van Sas Elise,S,BEL
3.0,Herbots Britt,OH,BEL
4.0,Lemmens Nathalie,MB,BEL
5.0,Guilliams Jodie,OH,BEL
6.0,Gilson Helena,OH,BEL
7.0,Van Gestel Celine,OH,BEL
8.0,Grobelna Kaja,O,BEL
9.0,Demeyer Nel,L,BEL
10.0,Martin Pauline,O,BEL
11.0,Goris Stien,OH,BEL
12.0,Krenicky Charlotte,S,BEL
13.0,Janssens Marlies,MB,BEL
14.0,Meynckens Laura,O,BEL
15.0,Van De Vyver Jutta,S,BEL
16.0,Flament Laure,OH,BEL
18.0,Rampelberg Britt,L,BEL
19.0,Van Avermaet Silke,MB,BEL
20.0,Lambrix Marie,L,BEL
21.0,Stragier Manon,OH,BEL
22.0,Koulberg Anna,MB,BEL
24.0,De Donder Sara,S,BEL
27.0,Wouters Yana,MB,BEL
28.0,Nagels Lara,S,BEL
29.0,Versteynen Lena,O,BEL
30.0,Ruysschaert Britt,OH,BEL
,Gert Vande Broek,COACH,BEL
1.0,Dimitrova Gergana,OH,BUL
2.0,Dimitrova Nasya,MB,BUL
3.0,Neykova Polina,S,BUL
4.0,Yaneva Eva,OH,BUL
5.0,Yordanova Maria,OH,BUL
6.0,Paskova-Kaneva Miroslava,OH,BUL
7.0,Kitipova Lora,S,BUL
8.0,Barakova Petya,S,BUL
9.0,Saykova Borislava,MB,BUL
10.0,Todorova Mira,MB,BUL
11.0,Vuchkova Hristina Hristova,MB,BUL
12.0,Usheva Dima,MB,BUL
13.0,Karabasheva Galina,L,BUL
15.0,Todorova Zhana,L,BUL
16.0,Atanasijevic Elitsa Vasileva,OH,BUL
